"기준일ID","시간대구분","자치구코드","총생활인구수","남자0세부터9세생활인구수","남자10세부터14세생활인구수","남자15세부터19세생활인구수","남자20세부터24세생활인구수","남자25세부터29세생활인구수","남자30세부터34세생활인구수","남자35세부터39세생활인구수","남자40세부터44세생활인구수","남자45세부터49세생활인구수","남자50세부터54세생활인구수","남자55세부터59세생활인구수","남자60세부터64세생활인구수","남자65세부터69세생활인구수","남자70세이상생활인구수","여자0세부터9세생활인구수","여자10세부터14세생활인구수","여자15세부터19세생활인구수","여자20세부터24세생활인구수","여자25세부터29세생활인구수","여자30세부터34세생활인구수","여자35세부터39세생활인구수","여자40세부터44세생활인구수","여자45세부터49세생활인구수","여자50세부터54세생활인구수","여자55세부터59세생활인구수","여자60세부터64세생활인구수","여자65세부터69세생활인구수","여자70세이상생활인구수"
"20240502","00","11110","200198.7607","4545.4681","2780.3826","5897.965","9251.9557","8368.3026","6991.4688","7865.6545","7394.6205","8282.1625","8012.3226","7675.3881","5881.6902","4180.6528","8169.0508","4270.2472","2614.0358","6124.2822","12843.1603","9108.1342","6889.4863","7665.9967","7197.854","8026.6855","7717.1221","7700.6591","6563.661","4706.3815","13473.9612"
"20240502","00","11140","171676.6502","4505.2069","1734.0082","2845.5189","6000.3438","6995.7206","7774.7754","9719.0129","8278.745","8067.3982","6736.9854","6127.1147","4621.9266","3329.5839","6558.255","4503.9247","1928.5723","3386.3172","8308.3292","8089.5227","7773.4303","9122.6851","7131.6945","6845.2299","6190.6462","6177.4707","5243.3022","3832.3965","9848.5305"
"20240502","00","11170","240924.8921","7902.2517","3873.4349","4898.3313","6968.3933","9048.5405","10335.8763","12831.6877","11147.7781","10987.9663","9080.4138","8261.0224","6293.415","4476.0795","8932.7263","6208.0396","3060.2847","5415.2438","9147.5875","10908.5388","11778.1638","13487.3436","10945.9926","10221.0813","8860.9336","8313.6211","7430.9485","5505.3378","14603.8569"
"20240502","00","11200","317652.303","10107.6756","4159.8025","7214.7054","11642.716","13379.3934","11922.6487","15793.3671","13847.9654","13515.5713","11503.8985","11021.9216","8704.0392","5972.7228","11260.5957","9687.7552","4160.1363","7976.5325","15092.1897","14166.8045","13507.315","16647.3934","13484.0768","13365.7979","11805.9063","11638.2511","9805.3511","7476.1211","18791.6495"
"20240502","00","11215","369421.5271","11174.641","6022.3909","10216.0956","15708.6705","17513.8114","15116.7419","15294.1722","12968.0805","14206.5777","12654.6408","12315.1943","9539.9226","6476.9714","12549.9615","10844.7453","6003.2777","11343.2677","21536.1962","21027.0967","16285.8309","16400.5265","13856.9275","14803.8645","12606.1047","13542.5539","10975.6391","8623.8058","19813.8147"
"20240502","00","11230","351890.8921","10229.9127","5026.1826","9242.4328","18071.6075","16408.2698","11316.5618","13891.915","13103.3551","13958.6459","12124.8438","11649.3333","9168.8765","6785.812","14492.7239","9862.3337","4805.3346","10586.6555","27664.9329","17257.4972","12674.2845","14128.3612","12141.7604","12595.8557","11349.1479","11660.0197","10277.8101","8471.7473","22944.6713"
"20240502","00","11260","368010.1654","13062.011","6286.8761","7542.1985","9203.0313","13184.3969","13534.6991","15930.6554","14329.8444","14606.3183","13440.5909","14998.3242","12006.9329","8835.2839","16813.2942","11790.4299","5609.8924","7496.2009","11652.6998","15383.734","15096.2802","16318.7692","13656.4012","14284.1686","14149.3741","16679.4657","14580.0439","10643.6998","26894.5474"
"20240502","00","11290","445130.0638","16427.7666","9181.2744","15019.5438","19136.1666","15977.833","12528.1616","15428.9851","15446.0665","17666.5647","16112.6232","14912.9755","11135.104","8194.8173","17686.5984","14958.2923","8171.4869","16125.3861","27931.425","17513.5671","14107.8464","17445.0892","16407.0045","18542.3671","17539.2817","16342.9682","13814.6926","10717.8688","30658.3128"
"20240502","00","11305","290728.2707","9127.3494","4983.957","6445.962","8687.2868","10229.485","8635.4001","10213.1769","10172.9027","11959.5593","11236.1231","11514.7586","9131.7627","6705.1092","15461.4362","8091.3432","4410.2887","7121.4088","13186.3112","11127.1595","9138.6364","10191.447","9979.1884","11941.5126","12216.8869","12685.112","11385.72","8839.0587","25909.9251"
"20240502","00","11320","273148.0683","9305.334","5203.4466","6945.2437","6830.4773","8337.1791","7936.0154","9767.5253","9775.9129","10692.3571","10225.6657","10911.7333","9189.9569","7392.5785","14896.1913","7973.071","4473.7367","6800.1448","9379.0148","9180.2047","8852.3621","10292.9833","9422.4823","11149.7294","11344.3846","13102.2383","11469.5254","8904.2893","23394.2846"
"20240502","00","11350","504686.917","17155.1308","11422.2337","18137.1833","18524.172","15312.3391","13622.5745","17546.5771","16705.2673","20919.4209","18844.0864","18093.9195","14340.1611","11142.0885","22578.1925","16429.412","10649.7771","17390.3751","20417.3747","15606.37","15499.0699","18696.0237","19201.8226","22747.1934","21450.9576","21659.7519","18156.791","14310.2533","38128.4079"
"20240502","00","11380","457794.1621","15408.8634","8485.6591","11654.564","11473.5167","14710.9812","15478.0415","18139.4496","17370.3576","19448.8475","16927.7368","15882.8711","13040.1537","9353.0975","19950.5892","15350.2124","8363.2324","10924.7706","15559.8269","18899.0808","18524.158","20453.7167","19059.5842","21140.9239","19022.9562","19243.6933","16801.9024","12612.4991","34512.8707"
"20240502","00","11410","347690.3537","10168.6611","5094.0079","8674.783","14361.2034","14143.0494","11449.6907","13570.9257","12801.5759","13833.2293","11791.2803","11236.2063","8714.1121","5999.143","12890.7944","9950.7702","5196.8437","11955.0894","26885.6543","17477.2254","13196.1856","15290.6091","12591.002","13631.9611","12712.1086","13040.3983","10607.9793","7984.5005","22441.361"
"20240502","00","11440","410303.9784","12831.6606","6444.6755","9717.0614","15341.8547","17701.4446","16836.8789","20137.1953","17239.7371","18319.092","14241.6082","12039.8169","8780.9688","6379.474","12655.3033","11237.2225","5444.7333","11143.7142","23974.5559","23295.4836","20015.4767","21928.7959","17540.5183","18294.5236","14623.8566","13274.4988","10350.2626","8277.0462","22236.522"
"20240502","00","11470","384277.4989","17012.2455","12089.1456","13282.2527","8635.7766","10789.769","10623.9147","13589.4633","14541.8977","18699.5416","15061.6425","13830.5098","10568.4766","7587.8757","15813.6228","15279.4056","10426.8951","12408.3615","10486.4792","11977.2184","11826.6692","15430.2914","16613.3327","19308.2208","14993.9993","15301.5216","12472.3308","10226.8285","25399.8085"
"20240502","00","11500","540578.2695","22065.3639","10073.1495","12246.9709","12368.6987","20052.2905","22672.8589","26423.5936","23258.6046","23712.2178","18425.3216","17017.0163","13960.5553","10630.5073","22502.6942","20683.7825","9327.5774","12007.9091","16777.9486","25191.1931","25636.3342","26600.0325","22235.1403","22294.3997","18033.1745","18780.9996","16987.492","14017.4551","36594.9878"
